X,Y,OBJECTID,STREETID,NSGID,STREET,UNITID,UNITNO,UNITTYPE,LOCATION,HEIGHT,OWNER
361823.57004138,397314.090040805,34732,2737,44102880,Rutland Avenue,057568,0004,L,O/S 17,6,BE
361843.270042316,397279.550039165,34733,2737,44102880,Rutland Avenue,057569,0005,L,O/S 32,6,BE
361867.35004346,397258.180038149,34734,2737,44102880,Rutland Avenue,057570,0006,L,O/S 33/35,6,BE
361843.120042308,397247.240037629,34735,2737,44102880,Rutland Avenue,057571,0007,L,S/O 36,6,BE
359083.790011248,406427.209973656,34736,17380,44121816,Old School Court,057572,0001,L,O/S 1 TO 3,6,BE
359061.350010182,406404.659972584,34737,17380,44121816,Old School Court,057573,0002,L,O/S 4/6,6,BE
359075.760010866,406384.919971647,34738,17380,44121816,Old School Court,057574,0003,L,O/S 17,6,BE
363898.930039954,403024.17001202,34739,17376,44121811,Hancock Close,057575,0001,L,O/S 1 TO 2,6,BE
363890.690039563,402997.660010761,34740,17376,44121811,Hancock Close,057576,0002,L,O/S 4 TO 5,6,BE
363880.820039094,402984.460010134,34741,17376,44121811,Hancock Close,057577,0003,L,O/S 5 TO 6,6,BE
363857.540037989,402983.830010103,34742,17376,44121811,Hancock Close,057578,0004,L,O/S 10,6,BE
362492.989973175,404053.629960915,34743,17420,44121856,Tanfield Close,057579,0001,L,OPP S/O 75 BORSDANE AVE,6,38
362512.999974126,404044.699960493,34744,17420,44121856,Tanfield Close,057580,0002,L,REFER OSP,6,38
362536.01997522,404042.799960401,34745,17420,44121856,Tanfield Close,057581,0003,L,END OF CUL-DE-SAC,6,38
355484.510040291,404970.570004469,34746,4014,44104148,Irwell Place,057582,0004,L,O/S 17/19,6,BE
355501.350041091,404986.250005214,34747,4014,44104148,Irwell Place,057583,0005,L,O/S 10/12,6,BE
355549.480043377,405019.110006774,34748,17381,44121818,Robert Lewis Court,057585,0002,L,O/S 5/6,6,BE
361577.810029707,397393.650044585,34749,1974,44102082,Longton Avenue,057586,0001,L,O/S 4/6,6,BE
361546.0700282,397421.97004593,34750,1974,44102082,Longton Avenue,057587,0002,L,O/S 9,6,BE
361523.500027128,397458.150047647,34751,1974,44102082,Longton Avenue,057588,0003,L,O/S 14/16,6,BE
361491.56002561,397481.410048753,34752,1974,44102082,Longton Avenue,057589,0004,L,O/S 18/20,6,BE
361455.310023889,397497.410049513,34753,1974,44102082,Longton Avenue,057590,0005,L,O/S 23/25,6,BE
361429.180022648,397526.349950887,34754,1974,44102082,Longton Avenue,057591,0006,L,O/S 28/30,6,BE
361396.280021084,397541.329951597,34755,1974,44102082,Longton Avenue,057592,0007,L,S/O 35 STONE CROSS LANE NORTH,6,BE
361737.6800373,397481.810048772,34756,3623,44103789,Milton Road,057593,0001,L,O/S 155 CHURCH LANE,6,BE
361820.800041248,397363.950043174,34757,3622,44103788,Sheridan Avenue,057594,0001,L,S/O 109 CHURCH LN,6,BE
366669.779971562,404029.749959782,34758,160,44100173,Bag Lane,057595,0038,L,O/S 324,10,BE
365707.250025845,400577.089995788,34759,2505,44102624,Platt Street,057596,0001,L,15M FROM LEIGH RD,10,BE
364017.550045588,400195.749977676,34760,1169,44101248,Firs Lane,057597,0026,L,OPP MAY ST,10,BE
362756.409985688,397657.129957099,34761,643,44100687,Cherry Tree Road,057598,0004,L,O/S 17/19,6,BE
362778.709986746,397678.479958113,34762,643,44100687,Cherry Tree Road,057599,0005,L,O/S 25,6,BE
362745.059985149,397717.459959963,34763,643,44100687,Cherry Tree Road,057600,0007,L,O/S 43/45,6,BE
362716.87998381,397697.829959031,34764,643,44100687,Cherry Tree Road,057601,0008,L,O/S 51/53,6,BE
362698.679982945,397674.989957947,34765,643,44100687,Cherry Tree Road,057602,0009,L,O/S 34,6,BE
362662.839981243,397656.789957082,34766,643,44100687,Cherry Tree Road,057603,0010,L,O/S 67,6,BE
362768.65998627,397700.639959166,34767,643,44100687,Cherry Tree Road,057604,0006,L,O/S 33/35,6,BE
362664.699981332,397613.36995502,34768,1163,44101243,Fir Tree Avenue,057605,0001,L,O/S 2/4,6,BE
362645.959980441,397638.269956203,34769,1163,44101243,Fir Tree Avenue,057606,0002,L,O/S 6,6,BE
361307.270016857,397744.489961248,34770,1807,44101917,Lancaster Avenue,057607,0001,L,S/O 1A,6,BE
361338.940018361,397777.259962805,34771,1807,44101917,Lancaster Avenue,057608,0002,L,O/S 6/8,6,BE
361351.590018963,397803.799964065,34772,1807,44101917,Lancaster Avenue,057609,0003,L,O/S 15,6,BE
361375.76002011,397898.189968549,34773,2605,44102735,Rectory Avenue,057610,0001,L,S/O S/O 10 GOLBORNE RD,6,BE
361402.300021371,397912.75996924,34774,2605,44102735,Rectory Avenue,057611,0002,L,O/S 1/3,6,BE
361432.880022823,397940.809970573,34775,2605,44102735,Rectory Avenue,057612,0003,L,O/S 11A,6,BE
361452.300023746,397970.489971982,34776,2605,44102735,Rectory Avenue,057613,0004,L,O/S 22,6,BE
361100.340007029,398262.829985868,34777,2309,44102429,Northfield Court,057614,H0818,L,S/O 21,6,HS
361121.270008023,398248.989985211,34778,2309,44102429,Northfield Court,057615,H0819,L,O/S 17,6,HS
361134.810008666,398261.709985815,34779,2309,44102429,Northfield Court,057616,H0820,L,O/S 10/12,6,HS
361119.630007945,398280.659986714,34780,2309,44102429,Northfield Court,057617,H0821,L,O/S 5/7,6,HS
361102.870007149,398278.399986608,34781,2309,44102429,Northfield Court,057618,H0822,L,O/S COMMUNITY CENTRE,6,HS
359616.840036566,398201.589982959,34782,1491,44101584,Helen Street,057621,0004,L,O/S 14,6,BE
359621.220036774,398176.559981771,34783,1491,44101584,Helen Street,057622,0003,L,O/S 6/8,6,BE
359614.310036446,398234.009984499,34784,1491,44101584,Helen Street,057623,0005,L,O/S 24,6,BE
359618.830036661,398298.439987559,34785,1491,44101584,Helen Street,057624,0007,L,S/O 26,6,BE
359641.260037726,398348.309989927,34786,1491,44101584,Helen Street,057625,0009,L,S/O 1 OAKFIELD AVE,6,BE
359636.750037512,398381.749991516,34787,1491,44101584,Helen Street,057626,0010,L,REFER OSP,6,BE
359631.760037275,398412.329992969,34788,1491,44101584,Helen Street,057627,0011,L,REFER OSP,6,BE
359628.130037102,398443.179994434,34789,1491,44101584,Helen Street,057628,0012,L,S/O 2 HALEWOOD AVE,6,BE
359618.900036664,398476.689996025,34790,1491,44101584,Helen Street,057629,0013,L,OPP HALEWOOD AVE,6,BE
359636.410037495,398569.170000417,34791,1491,44101584,Helen Street,057630,0016,L,O/S 23/25,6,BE
359630.930037235,398601.450001951,34792,1491,44101584,Helen Street,057631,0017,L,O/S 29,6,BE
352756.97001074,403165.910018751,34793,2235,44102357,Moss Road,057632,0005,L,OPP 21,6,BE
355739.739952413,406165.579961227,34794,1812,44101920,Lancaster Walk,057633,0001,L,O/S 1,6,BE
355722.909951614,406140.719960047,34795,1812,44101920,Lancaster Walk,057634,0002,L,O/S 7,6,BE
355701.499950597,406155.049960729,34796,1812,44101920,Lancaster Walk,057635,H0056,L,R/O 3/5,6,HS
355716.689951319,406177.889961813,34797,1812,44101920,Lancaster Walk,057636,H0057,L,R/O 2/4,6,HS
354308.869984451,408464.619970426,34798,1654,44101752,Inward Drive,057637,0010,L,O/S 109,6,BE
356087.349968924,410329.449959001,34799,737,44100791,Collingwood Street,057638,0003,L,O/S 15,6,BE
356039.599966656,410389.299961844,34800,737,44100791,Collingwood Street,057639,0005,L,O/S 43,6,BE
358606.359988571,407634.530030999,34801,4810,44120473,Hall Lane,057640,0001,L,OPP 1/5 HAIGH BROW COTTAGES,6,LS
358698.699992957,407682.890033297,34802,4810,44120473,Hall Lane,057641,0002,L,O/S 1 STONE COTTAGES,6,LS
359219.310017684,406107.879958488,34803,2311,44102430,Northumberland Street,057642,0004,L,OPP JCN WINDERMERE ST,6,BE
359465.620029383,405335.370021796,34804,527,44100568,Canal Terrace,057643,0002,L,S/O 13,6,BE
359631.630037269,406830.889992829,34805,3417,44103593,Wigan Road,057644,0027,L,O/S 228/230,10,BE
360952.049999985,407958.870046405,34806,3417,44103593,Wigan Road,057645,0048,L,OPP MOSS PIT ROW,10,BE
355754.109953096,402644.739993997,34807,3304,44103473,Warminster Grove,057646,0002,L,O/S 6/8,6,BE
359727.530041823,404083.479962334,34808,475,44100513,Burghley Way,057647,0002A,L,R/O 10,6,BE
368743.30997005,402054.769965975,34809,4226,44105216,Georgian Court,057648,H0550,L,O/S 4/5,6,HS
368760.749970878,402059.899966219,34810,4226,44105216,Georgian Court,057649,H0551,L,O/S 9/10,6,HS
368730.03996942,402073.029966842,34811,1057,44105215,Elizabethan Court,057650,H0533,L,O/S 9,6,HS
368803.699972918,402075.859966977,34812,1747,44101852,Kings Court,057651,H0532,L,O/S 2/3,6,HS
367456.520008931,403380.990028968,34813,2823,44102966,Seddon Close,057653,H0525,L,R/O 7 MILLDALE CL,6,HS
359626.710037035,398697.520006515,34814,1032,44101101,Edge Green Lane,057654,0021A,L,O/S 155,6,BE
359626.850037041,398738.49000846,34815,1032,44101101,Edge Green Lane,057655,0020A,L,O/S 161/163,6,BE
359626.640037032,398769.480009932,34816,1032,44101101,Edge Green Lane,057656,0018A,L,O/S 167/169,6,BE
360454.839976368,397790.819963448,34817,1676,44101777,John Street,057657,0001,L,O/S 6/8,6,BE
360493.619978211,397779.939962931,34818,1676,44101777,John Street,057658,0002,L,OPP 24/26,6,BE
361538.240027827,398368.969990909,34819,401,44100434,Brignall Grove,057659,0001,L,S/O 89 SCOTT RD,6,BE
361550.850028426,398348.479989937,34820,401,44100434,Brignall Grove,057660,0002,L,O/S 5/6,6,BE
358794.3699975,399846.879961107,34821,1012,44101080,East Street,057661,0006,L,S/O 50,6,BE
360701.649988092,397343.450042199,34822,4774,44120581,Yew Tree Way,057662,0019,L,REFER OSP,10,BE
360786.259992111,397423.010045979,34823,4774,44120581,Yew Tree Way,057663,0023,L,REFER OSP,10,BE
371234.539988377,400987.370015277,34824,592,44100632,Chaddock Lane,057664,0027,L,OPP 221,10,BE
368380.029952795,403518.630035505,34825,834,44100899,Crosby Grove,057665,0001,L,O/S 5/7,6,BE
366998.309987167,403482.030033767,34826,2736,44102879,Russell Street,057666,0003,L,O/S 9,6,BE
366833.829979355,403493.670034319,34827,2537,44102658,Prestwich Street,057667,0006,L,O/S 24,6,BE
365278.730005492,401142.140022628,34828,399,44100432,Briggs Street,057668,0002,L,OPP 9,6,BE
360305.59996928,397443.840046968,34829,838,44100903,Cross Street,057669,0002,L,OPP 21/23,6,BE
360282.899968202,397412.51004548,34830,838,44100903,Cross Street,057670,0003,L,O/S,6,BE
358169.879967839,399561.520047553,34831,3873,44104028,Bryn Road South,057671,0001,L,S/O 121 BOLTON ROAD,8,BE
360102.469959632,402656.77999457,34832,2139,44102255,Medlock Way,057672,H0831,L,R/O 67 MILLERS LN,6,HS
362790.949987328,404534.35998375,34833,3731,44103889,Shrewsbury Close,057673,H1025,L,R/O 1/3  CORNWALL DR,6,HS
362776.169986626,404542.219984123,34834,3731,44103889,Shrewsbury Close,057674,H1026,L,O/S 28,6,HS
362786.76998713,404565.339985222,34835,3731,44103889,Shrewsbury Close,057675,H1027,L,S/O 22,6,HS
360237.779966059,407140.390007529,34836,1769,44101877,Kirkless Street,057676,0001,L,OPP 1,6,BE
358479.769982558,407225.730011582,34837,3116,44103274,The Hollies,057677,0001,L,JCN WIGAN LN,6,BE
